company,job_title,location,employment_type,seniority,job_category,salary_range,salary_type,num_of_applications,last_posted_date,expiry,responsibilities,requirements,salary_lower_mth_num,salary_upper_mth_num,salary_mid_mth_num,emp_type,target
kelly services (singapore) pte. ltd.,systems analyst (agile),"asia square tower 1, 8 marina view 018960",contract,professional,information technology,"$9,000to$13,500",monthly,0 application,posted 30 jan 2019,closing on 01 mar 2019,job description   to build scalable and reliable batch and streaming data pipelines to support  data analytics applications.,"job requirements  degree in computer science, computer engineering, or equivalent. at least 5 - 8 years of experience building scalable and reliable batch and streaming data pipeline. strong competency in sql, python programming, linux shell scripting.  knowledge of data management, etl tool/services from amazon web services (e.g. athena, glue, kinesys, redshift), google cloud platform (e.g. big query), bi tools (e.g. sisense, tableau) would be an advantage. able to work independently with minimal supervision.  good verbal and written communication skills.",9000.0,13500.0,11250.0,contract,1
kelly services (singapore) pte. ltd.,systems analyst (agile),"asia square tower 1, 8 marina view 018960",contract,professional,information technology,"$6,000to$9,000",monthly,0 application,posted 30 jan 2019,closing on 01 mar 2019,job description   to build scalable and reliable batch and streaming data pipelines to support  data analytics applications.,"job requirements  degree in computer science, computer engineering, or equivalent. at least 5 - 8 years of experience building scalable and reliable batch and streaming data pipeline. strong competency in sql, python programming, linux shell scripting.  knowledge of data management, etl tool/services from amazon web services (e.g. athena, glue, kinesys, redshift), google cloud platform (e.g. big query), bi tools (e.g. sisense, tableau) would be an advantage. able to work independently with minimal supervision.  good verbal and written communication skills.",6000.0,9000.0,7500.0,contract,1
google asia pacific pte. ltd.,"data science lead, large customer sales - singapore","marina bay financial centre, 8 marina boulevard 018981",full time,executive,information technology,"$7,700to$15,400",monthly,3 applications,posted 29 jan 2019,closing on 28 feb 2019,"company overview: google is not a conventional company, and we don’t intend to become one. true, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. at google, we know that every employee has something important to say, and that every employee is integral to our success. we provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. for more information, visit www.google.com/careers. the area: large customer sales (lcs) our large customer sales teams partner closely with many of the world’s biggest advertisers and agencies to develop digital solutions that build businesses and brands. we enjoy a bird’s eye view on the massive transformation occurring as advertising shifts to mobile and online platforms. we're uniquely situated to help shape how companies grow their businesses in the digital age. we advise clients on google's broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences. the role: data science lead, large customer sales - singapore at google, data drives all of our decision-making. quantitative analysts work all across the organization to help shape google's business and technical strategies by processing, analyzing and interpreting huge data sets. using analytical rigor and statistical methods, you mine through data to identify opportunities for google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. as an analyst, you do more than just crunch the numbers. you work with engineers, product managers, sales associates and marketing teams to adjust google's practices according to your findings. identifying the problem is only half the job; you also figure out the solution. additional role description: as a data science lead, you'll be a key member of google large customer sales, the team that manages google’s business relationship with global advertisers. as a data science lead you will generate actionable insights and solutions that drive business results, by applying data science techniques and machine learning models to google data, customers’ data and 3rd party data.  by working closely with customers’ marketing, data science, business intelligence and customer relationship management (crm) teams, you will develop an understanding of the key opportunities and challenges they face. you will scope, execute and take full ownership of projects that will leverage google’s cutting-edge data science techniques and machine learning models, to help customers solve their most pressing challenges, defining and scaling solutions to optimize marketing effectiveness, attribution models, creative excellence, and lifetime value (ltv). responsibilities: - analyze google data, customers’ data and third party data to identify new data-driven business opportunities, estimating value and resources required by customers and google. - deliver projects end-to-end, working with customers’ teams to gather and prepare data/features, to analyze data with programming/statistical languages (e.g. r, python) and generate insights, to choose and deploy machine learning models, solving for the business opportunities identified. - work with account management teams to ensure that recommended solutions deliver expected performance improvements for customers, also by designing and executing experiments, resulting in accelerated google media investments by customers. - collaborate with gtech customer solutions engineers and customers’ engineering teams, to implement and scale the solutions identified; scale to other customers and sectors. - act as data science advocate within google singapore large customer sales, advising and coaching analytical teams, sharing best practices and case studies, helping to lift the overall literacy; develop collaborations with gtech, cloud, product, engineering teams as relevant.","minimum qualifications: - bachelor’s degree in statistics, mathematics, computer science or related field, or equivalent practical experience. - 4 years of experience in data science, advanced analytics, statistical modeling; experience working for apps, e-commerce, fintech, gaming, travel and/or ride hailing companies. - experience in sql and statistical programming languages (e.g. r, python). experience in solving complex problems and defining and testing hypotheses to generate insights that drive business results. - experience in translating data science concepts into business recommendations and communicating effectively to business leaders. preferred qualifications: - master’s or phd degree in statistics, mathematics, computer science or similar fields. - understanding of digital marketing and experience working with data to solve marketing problems including audience targeting, bidding, creatives optimization, and measurement and attribution. - client-facing experience with the ability to manage relationships with client data/engineering teams. - team leading experience, with a focus on building and managing (small) teams of data scientists. - experience in deploying machine learning solutions based on tensorflow or equivalent tools. - knowledge of machine learning models and techniques including data cleansing, normalization, feature engineering, model training/validation and automation.",7700.0,15400.0,11550.0,full time,1
trakomatic pte. ltd.,data analyst,"alice@mediapolis, 29 media circle 138565",full time,professional,information technology,"$3,500to$4,500",monthly,12 applications,posted 29 jan 2019,closing on 28 feb 2019,"the retail data analyst will lead and perform complex analysis in an evolving data environment. in addition to very strong technical skills, this position requires superb business process analysis and interpersonal skills. the ability to extract and analyze shopper behaviour related data (footfall, demographic, crowd density, shelves engagement and sales transaction data), patterns, and related trends is needed, with the subsequent ability to synthesize the data into information consumable by different department from marketing, senior business decision-makers, operation team and leasing department.  retail business analyst job entails conducting quantitative and qualitative analyses including customer behaviour, retail trends, etc. the role involves presenting the shopper analytics insights and educating the usage of the data to clients.    responsibilities:     complete projects that require data mining, analysis, and presentation.   focus on solutions, dive into projects, quickly identify drivers in the data.   identify relevant trends, do follow-up analysis, prepare visualizations.   develop dashboards to track remediation of issues.    while the focus of this role is the extraction and interpretation of data, it also requires the capacity to identify, explore, interpret and present key trends, ideas and concepts   analysis: data analysts work with large amounts of data: facts, figures, and number crunching. you will need to see through the data and analyse it to find conclusions.   communication: data analysts are often called to present their findings or translate the data into an understandable document. you will need to write and speak clearly, easily communicating complex ideas.   critical thinking: data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings.   attention to detail: data is precise. data analysts have to make sure they are vigilant in their analysis to come to correct conclusions.    ","requirements:     a bachelor’s degree in math, computer science, business, analytics, or a related field is required. strong math and analysis skills are needed.   effective communication, computer, analytical, customer service, and project management skills are also important.   the ideal candidates should have experience working in a business/data analysis role in the retail business processes and retail systems experience.   math skills: data analysts need math skills to estimate numerical data.   working familiarity with tools like power bi, qlikview, tableau, hadoop, excel.   self-starter – must be productive with minimal direction.   ability to work in a fast-paced, technical, cross-functional environment.   excellent visual design sense regarding clear and accurate presentation of data.   basic sql skills desirable.  ",3500.0,4500.0,4000.0,full time,0
intellect minds pte. ltd.,data engineer,"anson centre, 51 anson road 079904",full time,executive,information technology,"$5,000to$7,000",monthly,1 application,posted 29 jan 2019,closing on 28 feb 2019,"company overview intellect minds is a singapore-based company since 2008, specializing in talent acquisition, application development, and training. we serve big mncs and well-known clients in talent acquisition, application development, and training needs for singapore, malaysia, brunei, vietnam and thailand. our client is an establish company a, leader within their industry, is now looking for a data engineer to join their esteemed organization. job descriptions: responsibilities • create and maintain optimal data pipeline architecture. • assemble large, complex data sets that meet functional / non-functional business requirements. • build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using sql, cassandra, hadoop and other big data technologies. • build data pipeline on premise and on google cloud platform. • build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. • work with stakeholders including the product, data and design teams to assist with data-related technical issues and support their data infrastructure needs. • work with data and analytics experts to strive for greater functionality in our data systems.","qualifications • advanced working sql knowledge and experience working with relational databases, query authoring (sql) as well as working familiarity with a variety of databases. • experience building and optimizing ‘big data’ data pipelines, architectures and data sets. • experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. • strong analytic skills related to working with unstructured datasets. • build processes supporting data transformation, data structures, metadata, dependency and workload management. • a successful history of manipulating, processing and extracting value from large disconnected datasets. • working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. • experience supporting and working with cross-functional teams in a dynamic environment. • we are looking for a candidate with 5+ years of experience in a data engineer role, who has attained a graduate degree in computer science, statistics, informatics, information systems or another quantitative field. they should also have experience using the following software/tools: • experience with big data tools: hadoop, spark, kafka, etc. • experience with google cloud platform esp. google pub-sub, big query, data proc, data flow, cloud storage. • experience with iot & time series data. • experience with relational sql and nosql databases, including postgres and cassandra. • experience with stream-processing systems: storm, spark-streaming, etc. • experience with object-oriented/object function scripting languages: python, java, c++, scala, etc. all successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits. interested candidates please submit your detailed resume online. to your success! the recruitment team intellect minds pte ltd (singapore)",5000.0,7000.0,6000.0,full time,1
gumi asia pte. ltd.,data analyst,"connexis, 1 fusionopolis way 138632",full time,junior executive,others,"$2,800to$3,800",monthly,1 application,posted 29 jan 2019,closing on 28 feb 2019," perform evaluations and problem investigation for marketing data work within the business innovations department to identify data related problems and provide solutions conduct research and collect data which will help in continual product development that meet department requirements ensure high quality data are collected and integrity of the data process data to develop reports specifically required by the department analyse information using various statistical methods, trying to see patterns in data create reports and presentations "," minimum diploma/ degree in statistics/computer science minimum 2 year's experience in data management, consolidation and analysis preferred high proficiency in microsoft excel is required previous experiences with r and mysql will be highly valued. possess excellent problem solving, presentation, organizational and project management good communication skill and interpersonal skill ",2800.0,3800.0,3300.0,full time,0
dbs bank ltd.,"avp, data scientist, business analytics, consumer banking group (180004xi)","marina bay financial centre, 12 marina boulevard 018982",full time,senior management,information technology,"$6,500to$11,700",monthly,2 applications,posted 29 jan 2019,closing on 28 feb 2019,"business function  as the leading bank in asia, dbs consumer banking group is in a unique position to help our customers realise their dreams and ambitions. as a market leader in the consumer banking business, dbs has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. our financial solutions are not only the best in the business – they were made just right for you.    about this role    the regional data science team is part of the regional business analytics team for consumer banking group. our responsibilities include building the data science solutions using advanced machine learning methods, recommendation engines, text mining solutions and customer models to increase the business impact and efficient customer management, as well as answer numerous business questions using statistical tools and data analysis.   responsibilities     involve in building cutting edge algorithms and working with state-of-art data science and machine learning tools such as spark, tensor flow and will have mastery in any number of analytic platforms like sas, sql, python, r. etc. work with large scale datasets, distributed big data platforms for a variety of advanced analytics solutions across the bank ranging from recommendation engines, propensity models, customer segmentation, graph models, pricing and more. work alongside ba leadership, making regular presentation to senior management including c-level executives within the consumer bank leadership across the region help the team with methodology and guidance in the areas of experiment design and data analysis. "," masters or equivalent degree in statistics, applied mathematics, operation research, or equivalent quantitative fields preferred. strong mathematical and statistics background. 6-10 years of experience in industry (ideally consumer banking, ecommerce, telecoms, retail) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business results  at least 5 years of data mining and machine learning on large amount of data, building and implementing various statistical models. good understanding of technology tools especially those related to analytics, data & statistical modelling.  programming experience in sas (base, stats, macro, eg, em), r, python, spark, tensorflow or other statistical programing software.  familiarity with hadoop, hive, and pig. proficient in using databases like teradata, oracle, sql server, neo4j etc.. knowledge of internet marketing data collection and metrics as well as familiarity with digital analytics platforms like google adwords, facebook contextual marketing, omniture/adobe, mediaplex, etc would be helpful. ability to communicate complex analysis/models across a diverse team. good written and oral communication skills ",6500.0,11700.0,9100.0,full time,1
niometrics (pte.) ltd.,high-performance data engineer,"parkview square, 600 north bridge road 188778",full time,professional,information technology,"$5,500to$11,000",monthly,1 application,posted 29 jan 2019,closing on 28 feb 2019,"what we do we invite you to be part of our ambitious, close-knit team creating systems for large customers who need to crunch through tbps of data in real-time. our approach is relentless performance-oriented software engineering vs. server sprawl in our customers' datacentres. you will use the latest high-end hardware and continuously devise ways to push the envelope of software performance. we build in-house systems if we must. we had to for indexing 1m 60-column rows/s, for aggregating high throughput event streams over hundreds of combinations of dimensions, and for pattern matching 5m patterns at 100gb/s per 2ru. we use these to solve real customer problems. you will experiment wildly. for example we implemented network monitoring using a gpu, and we tested 4-socket machines with 2t ram. our current favourite platform is a 2-socket system with e5-2699v4 cpus (88 lcores in total), 4x40gbps nics and 1t ram, which we use to process 160gbps. you will help us build a successful software platform for the long run. we invest a lot in flexibility, such as with our extensible rule engine and declarative aggregation system that empowers our analysts and helps us minimise the c code we have to write for supporting disparate use-cases. we know the devil is in the details. you will improve performance through better memory allocation systems and better data structures, all while ensuring that they are integrated with address sanitizer and fully tested using unit tests and end-to-end regression tests. we work end-to-end. you will implement data engineering solutions that are both efficient and secure for handling events from 500 million users, and to extract insight without leaking individual information. we want to show off. to attract the best programmers we plan to showcase our technology. you can be part of our effort to open-source interesting pieces of our technology stack.   your role as high-performance data engineer as a high-performance data engineer, you will create and maintain tools, mainly in c, for crunching large amounts of data in files or streams. you will have to think both big, in terms of overall architecture, and small, in terms of low-level optimisations, to deliver solutions that are reusable, and match the performance of the best hardware. every capability you add directly translates to new offerings made possible. every percent of performance improvement directly translates to large cost savings. at the same time, the correctness and reliability of your work will be the cornerstone to our customers’ trust.",what we value  bachelor’s or higher degree in computer science or equivalent software craftsmanship attention to reliability and successful delivery experience with large c code bases and high-performance c programming familiarity with shared memory data structures and parallel algorithms proficiency with linux system & development tools ,5500.0,11000.0,8250.0,permanent,1
niometrics (pte.) ltd.,data scientist,"parkview square, 600 north bridge road 188778",full time,professional,information technology,"$5,000to$10,000",monthly,10 applications,posted 29 jan 2019,closing on 28 feb 2019,"what we do niometrics captures, organises and extracts insights from some of the biggest and most complicated datasets that our modern societies currently produce. we put a magnifying glass on the realities collectively constructed by billions of connected individuals and machines, making sense of how humanity is re-creating wholly new digital universes with bits and bytes – universes that need to be seen, interpreted and explained. from taking deep dives into digital behaviours, to exploring the most intimate interactions between network technology and user experiences, we do it all. our data science team consists of ambitious, creative and passionate individuals, united in the common goal of making a difference. with millions of users generating hundreds of tbs of data daily, our day-to-day job becomes an adventure of connecting digital signals with real-life habits to formulate granular audience insights – who they are, how they behave, and ultimately, how we can expect them to behave in the future. the action does not stop there – we also take pride in working with the latest high-end hardware and world-class software architecture. this means there are virtually no limits to the scope of future events we can model, giving us insights on not just people, but also the entire inter-connected ecosystem to which they belong. we are perfectionists and we do not hide it. you will join a thrilling environment, implementing and deploying data science solutions that are both efficient and secure, setting the basis for a groundbreaking software platform for the long run.  your role as data scientist as a data scientist, you will work end-to-end, leading entire projects and owning their outcomes through their entire lifecycle. you will formulate hypotheses on structured and unstructured data, design experiments, draw meaningful conclusions and effectively communicate the results to business stakeholders. you will be part of a relentless team, curious to extract the highest value possible in the most effective way. you will put into action your machine learning skills, and together, we will build optimum algorithms for regression, classification, clustering, and information extraction.","what we value  ba/bs (or ma/ms) or equivalent experience in applied data science. proficiency in statistical packages and ml libraries for both big and not so big data (e.g. python scipy ecosystem, nltk, tensorflow or equivalent, spark ml and mllib, etc.) in depth knowledge of cutting-edge machine learning algorithms, as well as the strengths and weaknesses of the different methods and algorithms on different applications. experience in unix systems and scripting in bash. proficiency in code optimisation (knowledge of cython or similar) ",5000.0,10000.0,7500.0,permanent,1
ernst & young advisory pte. ltd.,"senior associate, data and analytics, advisory",1 raffles quay 048583,full time,executive,consulting ,"$4,100to$8,200",monthly,0 application,posted 29 jan 2019,closing on 28 feb 2019,"powered by big data and advanced technologies, insights from analytics are disrupting everything from how companies create competitive advantage to day-to-day business processes. but companies don’t have analytics problems; they have business problems that analytics can address.  our view is that the human element is just as critical as technology and data to realizing true value from analytics.  this involves individual and organizational considerations that become the bridge from data to insights to action.      the opportunity  as a senior consultant, you will deliver value-added services to our clients and you are required to be a specialist in managing both structured and unstructured enterprise data and deliver analytics-related solutions to ernst & young clients across asean.  in addition, you are required to communicate effectively with the project manager & team members in the region regarding the progress of the project and be a role model to the team members in exhibiting the ernst & young best practices.  at ernst & young, the true value lies in embedding analytics deeply into business processes at the point of where decisions are made – by human beings.   your key responsibility:   this is a role where no two days are the same – so you’ll find yourself taking on plenty of new responsibilities as you go. you’ll work alongside clients and colleagues, balancing your time between developing security strategies, advising stakeholders, providing workshops and supporting business development. if you’re flexible and ready to adapt to a constantly changing environment, there’s no better place to develop your skills. since you’ll be working directly with clients, some travel will be required.  skills and attributes for success  analytical and problem-solving skills combined with experience in leveraging data analytics to drive insights and business decisions.  analyze client’s business and supply chain requirements develop supply chain optimization models and statistical analysis using packaged as well as custom optimization software tools (e.g. llamasoft supply chain guru, llamasoft transportation guru, sas, r, python, gams)  analyze and interpret optimization results and derive insights  communicate technical insight from analytics and modeling to senior executives in a business-oriented and pragmatic way  provide critical thinking and subject-matter expertise to quantitative and qualitative aspects of client engagements strong attention to details and ability to multi-task. a strong work ethic. a willingness to travel to meet client needs; travel is estimated at 20%. ","to qualify for the role you must have  bs in engineering or computer sciences 3- 7 years of working experience in consulting, analytics software-as-a-service or technology industry. strong experience in solving supply chain planning and design problems using quantitative approaches working knowledge of commercial network design tools such llamasoft scg, ibm lnp or similar  advanced data analysis and processing skills in ms access, excel, and sql familiarity with custom optimization engines such as gams, lindo, cplex working knowledge on a statistical package such as sas, spss, r or python  working knowledge of visualization tools like tableau, qlikview or any other bi solution. strong understanding of supply chain design levers and metrics understanding of supply chain planning at strategic, tactical and operational level  fundamental understanding of science behind optimization articulate, with excellent oral and written communication skills. adaptable, able to interact and build strong relationships with people from a diverse range of backgrounds. intellectually rigorous, with strong analytical skills and a passion for data. sound logical reasoning and deep thinking ability. ability to work accurately to a high level of detail.  ideally, you’ll also have  ms in operations research, industrial engineering, decision sciences, engineering or computer sciences (preferred) supply chain certifications such as cscp / cpim are a plus  we offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. in addition, our total rewards package includes medical and dental coverage, and a range of programs and benefits designed to support your physical, financial and social wellbeing. plus, we offer:    what working at ey offers we’re interested in flexible professionals with excellent problem-solving skills and the ability to prioritise shifting workloads in a rapidly changing industry. you’ll also need the confidence to give professional advice and guidance to colleagues and clients from a diverse range of cultures, often with limited information – both verbally and in writing. if you’re a fast learner, with strong influencing skills and a genuine passion for information system security, this role is for you.   what we look for  support and coaching from some of the most engaging colleagues around. opportunities to develop new skills and progress your career. the freedom and flexibility to handle your role in a way that’s right for you.    about us   ey is a global professional services organisation providing advisory, assurance, tax and transaction services. we are committed to doing our part in building a better working world for our people, our clients and our communities. and we are united by our shared values and a dedication to delivering exceptional client service.   want to get to know us better?  visit www.ey.com/sg/careers  become a fan on facebook: http://www.facebook.com/eysgcareers  connect with us on linked in: http://bit.ly/eylinked_careers  watch us on youtube: http://www.youtube.com/ernstandyoungglobal    we regret that only shortlisted candidates will be notified.  © 2017 ernst & young advisory pte. ltd. all rights reserved.",4100.0,8200.0,6150.0,full time,1
